request_id,date,process_time,closed_date,description,category,status,referred_to,location
336512.0,2024-06-06 12:25:29,0 days 00:27:00,2024-06-06 12:52:29,Hazardous Materials,OTHER,CLOSED,,"{'latitude': '37.80505999961946', 'longitude': '-122.27301999967312', 'human_address': '{""address"": ""NORTHGATE AV & 23RD ST"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
434866.0,2024-06-06 17:22:17,0 days 00:22:00,2024-06-06 17:44:17,"Illegal Dumping - debris, appliances, etc.",ILLDUMP,CLOSED,,"{'latitude': '37.80505999961946', 'longitude': '-122.27301999967312', 'human_address': '{""address"": ""B ST & 80TH AV"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
343175.0,2024-06-06 14:36:29,0 days 00:36:00,2024-06-06 15:12:29,Street Cleaning - Complaints,KOCB,CLOSED,,"{'latitude': '37.80505999961946', 'longitude': '-122.27301999967312', 'human_address': '{""address"": ""_Choose from this list, or enter Address above"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
402694.0,2024-06-06 00:34:03,0 days 00:11:00,2024-06-06 00:45:03,Litter - In Public Right of Way,ILLDUMP,CLOSED,,"{'latitude': '37.81121484279237', 'longitude': '-122.29345826061353', 'human_address': '{""address"": ""1473 14TH ST"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
334751.0,2024-06-06 11:41:16,0 days 00:37:00,2024-06-06 12:18:16,Street Light - Outage/Damaged,ELECTRICAL,CLOSED,,"{'latitude': '37.80505999961946', 'longitude': '-122.27301999967312', 'human_address': '{""address"": ""E 18TH ST & LAKESHORE AV"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
313509.0,2024-06-06 07:26:56,0 days 00:20:00,2024-06-06 07:46:56,"Illegal Dumping - debris, appliances, etc.",ILLDUMP,CLOSED,,"{'latitude': '37.80505999961946', 'longitude': '-122.27301999967312', 'human_address': '{""address"": ""CRESTMONT DR & REDWOOD RD"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
337569.0,2024-06-06 12:02:33,0 days 00:14:00,2024-06-06 12:16:33,"Illegal Dumping - debris, appliances, etc.",ILLDUMP,CLOSED,,"{'latitude': '37.7523722024153', 'longitude': '-122.1852068679467', 'human_address': '{""address"": ""1000 82ND AV"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
22961.0,2024-06-06 13:31:26,0 days 00:21:00,2024-06-06 13:52:26,City Services - Bin/Container Request,RECYCLING,CLOSED,,"{'latitude': '37.824875544417466', 'longitude': '-122.27611933188865', 'human_address': '{""address"": ""934 34TH ST"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
421065.0,2024-06-06 07:06:57,0 days 00:32:00,2024-06-06 07:38:57,TE - Traffic Control Plan Review,TRAFFIC_ENGIN,CLOSED,,"{'latitude': '37.80505999961946', 'longitude': '-122.27301999967312', 'human_address': '{""address"": ""WOOD & 34TH"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
359018.0,2024-06-06 19:25:41,0 days 00:04:00,,Inspections - Utility-Related Infrastructure,ROW,OPEN,,"{'latitude': '37.794829195418515', 'longitude': '-122.25457157606661', 'human_address': '{""address"": ""501 E 12TH ST"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
315305.0,2024-06-06 15:09:36,0 days 00:03:00,2024-06-06 15:12:36,"Illegal Dumping - debris, appliances, etc.",ILLDUMP,CLOSED,,"{'latitude': '37.79303055135995', 'longitude': '-122.25396903030702', 'human_address': '{""address"": ""1101 7TH AV"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
385255.0,2024-06-06 14:31:51,0 days 00:43:00,2024-06-06 15:14:51,Street Light - Outage/Damaged,ELECTRICAL,CLOSED,,"{'latitude': '37.80505999961946', 'longitude': '-122.27301999967312', 'human_address': '{""address"": ""SEMINARY AV & LAIRD AV"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
335389.0,2024-06-06 14:24:50,0 days 00:41:00,2024-06-06 15:05:50,Graffiti on Private Property,GRAFFITI,CLOSED,,"{'latitude': '37.84555995109133', 'longitude': '-122.26112763366024', 'human_address': '{""address"": ""5928 TELEGRAPH AV"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
384551.0,2024-06-06 14:57:43,0 days 00:38:00,2024-06-06 15:35:43,Tree - Limb Down,TREES,CLOSED,,"{'latitude': '37.784001358185776', 'longitude': '-122.22074807454464', 'human_address': '{""address"": ""2201 COOLIDGE AV"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
384217.0,2024-06-06 16:43:18,0 days 00:29:00,2024-06-06 17:12:18,Oakland Police - Abandoned Auto,OTHER,CLOSED,,"{'latitude': '37.80505999961946', 'longitude': '-122.27301999967312', 'human_address': '{""address"": ""SUNSET AV & LYNDE ST"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
346780.0,2024-06-06 03:55:27,0 days 00:12:00,2024-06-06 04:07:27,"Illegal Dumping - debris, appliances, etc.",ILLDUMP,CLOSED,,"{'latitude': '37.74644762711398', 'longitude': '-122.18326241768717', 'human_address': '{""address"": ""8900 g st"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
335614.0,2024-06-06 04:30:53,0 days 00:50:00,2024-06-06 05:20:53,Plumbing - City Facility or Park,BLDGMAINT,CLOSED,,"{'latitude': '37.80505999961946', 'longitude': '-122.27301999967312', 'human_address': '{""address"": ""FRANCIS MARION (FM) SMITH RECREATION CENTER"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
399821.0,2024-06-06 02:10:46,0 days 00:18:00,2024-06-06 02:28:46,Street Light - Outage/Damaged,ELECTRICAL,CLOSED,,"{'latitude': '37.80505999961946', 'longitude': '-122.27301999967312', 'human_address': '{""address"": ""MERRIMAC ST & TELEGRAPH AV"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
419232.0,2024-06-06 21:34:19,0 days 00:06:00,2024-06-06 21:40:19,Litter - In Public Right of Way,ILLDUMP,CLOSED,,"{'latitude': '37.81839143258617', 'longitude': '-122.28522946404547', 'human_address': '{""address"": ""2430 UNION ST"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
