request_id,date,process_time,closed_date,description,category,status,referred_to,location
414152.0,2024-06-09 04:39:00,0 days 00:22:00,2024-06-09 05:01:00,Graffiti on Private Property,GRAFFITI,CLOSED,"CODE ENFORCEMENT,","{'latitude': '37.78112352769199', 'longitude': '-122.21881453218168', 'human_address': '{""address"": ""3561 FOOTHILL BLVD"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
339588.0,2024-06-09 00:25:13,0 days 00:03:00,2024-06-09 00:28:13,"Illegal Dumping - debris, appliances, etc.",ILLDUMP,CLOSED,,"{'latitude': '37.80505999961946', 'longitude': '-122.27301999967312', 'human_address': '{""address"": ""GOLF LINKS RD & FONTAINE ST"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
370151.0,2024-06-09 01:52:09,0 days 00:48:00,2024-06-09 02:40:09,Litter - In Public Right of Way,ILLDUMP,CLOSED,,"{'latitude': '37.828967542100614', 'longitude': '-122.27451198892301', 'human_address': '{""address"": ""903 APGAR ST"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
410129.0,2024-06-09 03:18:35,0 days 00:40:00,,Hazardous Materials,OTHER,REFERRED,"GRIFFIN, LEROY","{'latitude': '37.73849566350316', 'longitude': '-122.17407326122401', 'human_address': '{""address"": ""1001 102ND AV"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
413278.0,2024-06-09 06:59:46,0 days 00:40:00,,Graffiti on Private Property,GRAFFITI,REFERRED,"CODE ENFORCEMENT,","{'latitude': '37.77806583279238', 'longitude': '-122.2156669050791', 'human_address': '{""address"": ""3921 FOOTHILL BLVD"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
443259.0,2024-06-09 05:06:33,0 days 00:54:00,,Recycling Service Issue (Residential),RECYCLING,REFERRED,,"{'latitude': '37.80505999961946', 'longitude': '-122.27301999967312', 'human_address': '{""address"": ""69TH AV & HERBERT GUICE WAY"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
364160.0,2024-06-09 18:27:15,0 days 00:31:00,2024-06-09 18:58:15,Code Enforcement,OTHER,CLOSED,,"{'latitude': '37.826431371528145', 'longitude': '-122.26539042007909', 'human_address': '{""address"": ""501 W. MACARTHUR BLVD."", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
23995.0,2024-06-09 10:43:49,0 days 00:40:00,2024-06-09 11:23:49,Residential Recycling Service Issues,RECYCLING,CLOSED,,"{'latitude': '37.80505999961946', 'longitude': '-122.27301999967312', 'human_address': '{""address"": ""ZZ"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
443161.0,2024-06-09 03:34:00,0 days 00:26:00,,Streets - Potholes/Depression,STREETSW,OPEN,,"{'latitude': '37.80505999961946', 'longitude': '-122.27301999967312', 'human_address': '{""address"": ""HOLLIS ST & 34TH ST"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
357137.0,2024-06-09 13:40:15,0 days 00:54:00,2024-06-09 14:34:15,Illegal Dumping – mattress/boxspring,ILLDUMP,CLOSED,,"{'latitude': '37.80505999961946', 'longitude': '-122.27301999967312', 'human_address': '{""address"": ""12TH ST & CAMPBELL ST"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
309647.0,2024-06-09 11:47:35,0 days 00:56:00,,Tree - Pruning,TREES,UNFUNDED,,"{'latitude': '37.80128632758891', 'longitude': '-122.2543197658984', 'human_address': '{""address"": ""1830 LAKESHORE AV"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
407899.0,2024-06-09 08:50:54,0 days 00:34:00,2024-06-09 09:24:54,Street Light - Outage/Damaged,ELECTRICAL,CLOSED,,"{'latitude': '37.80505999961946', 'longitude': '-122.27301999967312', 'human_address': '{""address"": ""YGNACIO & 45TH AV"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
337943.0,2024-06-09 22:05:09,0 days 00:33:00,2024-06-09 22:38:09,Graffiti,GRAFFITI,CLOSED,,"{'latitude': '37.80505999961946', 'longitude': '-122.27301999967312', 'human_address': '{""address"": ""34TH ST & MANDELA PKWY"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
350847.0,2024-06-09 04:02:50,0 days 00:11:00,2024-06-09 04:13:50,Street Light - Outage/Damaged,ELECTRICAL,CLOSED,,"{'latitude': '37.79227512085532', 'longitude': '-122.21939909150069', 'human_address': '{""address"": ""2821 FRUITVALE AV"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
423811.0,2024-06-09 21:16:16,0 days 00:11:00,2024-06-09 21:27:16,TE - Traffic Control Plan Review,TRAFFIC_ENGIN,CLOSED,,"{'latitude': '37.80505999961946', 'longitude': '-122.27301999967312', 'human_address': '{""address"": ""24th & Webster"", ""city"": ""Oakland"", ""state"": ""CA"", ""zip"": """"}'}"
